 164-172 E9.3   mW/m2/Hz FnuL     Linear combination model f({nu}) (2)
--------------------------------------------------------------------------------
Note (1): In units of erg/cm^2^/s.
Note (2): In units of erg/cm^2^/s/Hz.
--------------------------------------------------------------------------------
1e4 4.49911D+09  66633.74162     1.970D+37 1.863D+37 1.759D+37 1.684D+37 1.661D+37 1.614D+37 1.685D+37 4.379D+27 4.141D+27 3.910D+27 3.743D+27 3.692D+27 3.587D+27 3.745D+27
1e4 4.91958D+09  60938.56716     2.133D+37 2.018D+37 1.904D+37 1.824D+37 1.799D+37 1.748D+37 1.825D+37 4.336D+27 4.102D+27 3.870D+27 3.708D+27 3.657D+27 3.553D+27 3.710D+27
1e4 5.37936D+09  55730.15511     2.310D+37 2.184D+37 2.062D+37 1.975D+37 1.948D+37 1.893D+37 1.976D+37 4.294D+27 4.060D+27 3.833D+27 3.671D+27 3.621D+27 3.519D+27 3.673D+27
1e4 5.88210D+09  50966.89958     2.501D+37 2.365D+37 2.233D+37 2.138D+37 2.109D+37 2.049D+37 2.140D+37 4.252D+27 4.021D+27 3.796D+27 3.635D+27 3.585D+27 3.483D+27 3.638D+27
1e4 6.43183D+09  46610.76136     2.708D+37 2.560D+37 2.417D+37 2.315D+37 2.283D+37 2.219D+37 2.316D+37 4.210D+27 3.980D+27 3.758D+27 3.599D+27 3.550D+27 3.450D+27 3.601D+27
1e4 7.03293D+09  42626.94421     2.931D+37 2.771D+37 2.617D+37 2.506D+37 2.471D+37 2.402D+37 2.507D+37 4.168D+27 3.940D+27 3.721D+27 3.563D+27 3.513D+27 3.415D+27 3.565D+27
1e4 7.69021D+09  38983.62256     3.173D+37 3.001D+37 2.833D+37 2.712D+37 2.675D+37 2.600D+37 2.714D+37 4.126D+27 3.902D+27 3.684D+27 3.527D+27 3.478D+27 3.381D+27 3.529D+27
1e4 8.40892D+09  35651.69575     3.434D+37 3.247D+37 3.065D+37 2.935D+37 2.895D+37 2.814D+37 2.937D+37 4.084D+27 3.861D+27 3.645D+27 3.490D+27 3.443D+27 3.346D+27 3.493D+27
1e4 9.19480D+09  32604.54846     3.717D+37 3.514D+37 3.317D+37 3.177D+37 3.133D+37 3.045D+37 3.179D+37 4.043D+27 3.822D+27 3.607D+27 3.455D+27 3.407D+27 3.312D+27 3.457D+27
1e4 1.00541D+10  29817.83605     4.021D+37 3.803D+37 3.590D+37 3.437D+37 3.390D+37 3.295D+37 3.440D+37 3.999D+27 3.783D+27 3.571D+27 3.418D+27 3.372D+27 3.277D+27 3.421D+27
1e4 1.09938D+10  27269.29888     4.351D+37 4.115D+37 3.883D+37 3.719D+37 3.668D+37 3.565D+37 3.722D+37 3.958D+27 3.743D+27 3.532D+27 3.383D+27 3.336D+27 3.243D+27 3.386D+27
1e4 1.20212D+10  24938.60024     4.707D+37 4.451D+37 4.202D+37 4.023D+37 3.968D+37 3.857D+37 4.027D+37 3.916D+27 3.703D+27 3.495D+27 3.347D+27 3.301D+27 3.208D+27 3.350D+27
1e4 1.31447D+10  22807.1107      5.092D+37 4.814D+37 4.545D+37 4.352D+37 4.293D+37 4.172D+37 4.356D+37 3.874D+27 3.662D+27 3.458D+27 3.311D+27 3.266D+27 3.174D+27 3.314D+27
1e4 1.43732D+10  20857.77876     5.508D+37 5.208D+37 4.917D+37 4.707D+37 4.643D+37 4.513D+37 4.711D+37 3.832D+27 3.623D+27 3.421D+27 3.275D+27 3.230D+27 3.140D+27 3.278D+27
1e4 1.57165D+10  19075.07102     5.956D+37 5.632D+37 5.317D+37 5.092D+37 5.022D+37 4.881D+37 5.095D+37 3.790D+27 3.584D+27 3.383D+27 3.240D+27 3.195D+27 3.106D+27 3.242D+27
1e4 1.71853D+10  17444.72013     6.441D+37 6.090D+37 5.750D+37 5.506D+37 5.431D+37 5.278D+37 5.510D+37 3.748D+27 3.544D+27 3.346D+27 3.204D+27 3.160D+27 3.071D+27 3.206D+27
1e4 1.87914D+10  15953.7277      6.965D+37 6.585D+37 6.217D+37 5.954D+37 5.873D+37 5.708D+37 5.957D+37 3.706D+27 3.504D+27 3.308D+27 3.168D+27 3.125D+27 3.038D+27 3.170D+27
1e4 2.05476D+10  14590.16322     1.441D+38 1.408D+38 1.375D+38 1.350D+38 1.347D+38 1.326D+38 1.354D+38 7.013D+27 6.852D+27 6.692D+27 6.570D+27 6.556D+27 6.453D+27 6.590D+27
